Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
46755005,07/06/2020 12:00:41 AM,07/06/2020 12:31:23 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10304,38 IMPERIAL COURT,IMPERIAL COURT,BEND,BEND,BEND,BEND,,STATEN ISLAND,IMPERIAL COURT,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:31:25 AM,01 STATEN ISLAND,5029220039,STATEN ISLAND,962007,163737,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.6160687507559,-74.08011745999566,"(40.6160687507559, -74.08011745999566)"
46762525,07/06/2020 12:00:43 AM,07/06/2020 12:13:35 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,,10472,HAVILAND AVENUE,HAVILAND AVENUE,HAVILAND AVENUE,OLMSTEAD AVENUE,HAVILAND AVENUE,OLMSTEAD AVENUE,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/06/2020 04:13:37 AM,09 BRONX,,BRONX,1024720,241731,PHONE,Unspecified,BRONX,,,,,,,,40.83007847884153,-73.85376148392184,"(40.83007847884153, -73.85376148392184)"
46758415,07/06/2020 12:00:44 AM,07/06/2020 01:18:42 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10460,1690 LONGFELLOW AVENUE,LONGFELLOW AVENUE,EAST  173 STREET,EAST  174 STREET,EAST  173 STREET,EAST  174 STREET,,BRONX,LONGFELLOW AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/06/2020 05:18:49 AM,03 BRONX,2030100012,BRONX,1016107,243554,ONLINE,Unspecified,BRONX,,,,,,,,40.835117351345545,-73.88487589768442,"(40.835117351345545, -73.88487589768442)"
46759214,07/06/2020 12:00:53 AM,,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11354,37-01 BOWNE STREET,BOWNE STREET,37 AVENUE,38 AVENUE,37 AVENUE,38 AVENUE,,FLUSHING,BOWNE STREET,,In Progress,,,,07 QUEENS,4050130006,QUEENS,1032660,217253,ONLINE,Unspecified,QUEENS,,,,,,,,40.76285320140835,-73.82524678723847,"(40.76285320140835, -73.82524678723847)"
46762666,07/06/2020 12:00:54 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10454,428 EAST  144 STREET,EAST  144 STREET,WILLIS AVENUE,BROOK AVENUE,WILLIS AVENUE,BROOK AVENUE,,BRONX,EAST  144 STREET,,In Progress,,,,01 BRONX,2022880021,BRONX,1006617,235302,MOBILE,Unspecified,BRONX,,,,,,,,40.812497095629695,-73.91919812786183,"(40.812497095629695, -73.91919812786183)"
46764955,07/06/2020 12:01:00 AM,07/06/2020 12:23:47 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,,11105,23-51 33 STREET,33 STREET,23 ROAD,24 AVENUE,23 ROAD,24 AVENUE,,ASTORIA,33 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/06/2020 04:23:48 AM,01 QUEENS,4008340014,QUEENS,1008309,220722,PHONE,Unspecified,QUEENS,,,,,,,,40.77247450403767,-73.91313792857977,"(40.77247450403767, -73.91313792857977)"
46757570,07/06/2020 12:01:01 AM,,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11106,31-34 33 STREET,33 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,,ASTORIA,33 STREET,,In Progress,,,,01 QUEENS,4006140054,QUEENS,1005680,217142,ONLINE,Unspecified,QUEENS,,,,,,,,40.76265510083187,-73.92264102016907,"(40.76265510083187, -73.92264102016907)"
46756097,07/06/2020 12:01:03 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46768315,07/06/2020 12:01:24 AM,07/06/2020 01:05:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11205,174 CARLTON AVENUE,CARLTON AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,,BROOKLYN,CARLTON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:06:01 AM,02 BROOKLYN,3020720039,BROOKLYN,991816,191561,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69246423271501,-73.97271666760274,"(40.69246423271501, -73.97271666760274)"
46760503,07/06/2020 12:01:28 AM,07/06/2020 12:06:56 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,301 WEST  203 STREET,WEST  203 STREET,DEAD END,9 AVENUE,DEAD END,9 AVENUE,,NEW YORK,WEST  203 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:06:57 AM,12 MANHATTAN,1021850001,MANHATTAN,1006905,252910,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86082520026947,-73.91809824059416,"(40.86082520026947, -73.91809824059416)"
46755611,07/06/2020 12:01:30 AM,07/06/2020 12:25:08 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,530 WEST  186 STREET,WEST  186 STREET,WASHINGTON TERRACE,AUDUBON AVENUE,WASHINGTON TERRACE,AUDUBON AVENUE,,NEW YORK,WEST  186 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:25:10 AM,12 MANHATTAN,1021560039,MANHATTAN,1003680,249562,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85164363090948,-73.92976687459851,"(40.85164363090948, -73.92976687459851)"
46760454,07/06/2020 12:01:33 AM,07/06/2020 12:17:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11106,31-58 32 STREET,32 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,,ASTORIA,32 STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,07/06/2020 04:17:52 AM,01 QUEENS,4006130064,QUEENS,1005370,217135,MOBILE,Unspecified,QUEENS,,,,,,,,40.762636633627324,-73.92376009356391,"(40.762636633627324, -73.92376009356391)"
46754768,07/06/2020 12:01:33 AM,07/06/2020 12:42:27 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11106,31-03 23 STREET,23 STREET,31 AVENUE,31 ROAD,31 AVENUE,31 ROAD,,ASTORIA,23 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:42:33 AM,01 QUEENS,4005690030,QUEENS,1004010,218565,ONLINE,Unspecified,QUEENS,,,,,,,,40.76656475742387,-73.92866527550154,"(40.76656475742387, -73.92866527550154)"
46760299,07/06/2020 12:01:34 AM,07/06/2020 12:08:09 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226,305 LINDEN BOULEVARD,LINDEN BOULEVARD,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,,BROOKLYN,LINDEN BOULEVARD,,Closed,,The Police Department reviewed your complaint and provided additional information below.,07/06/2020 04:08:12 AM,17 BROOKLYN,3048530086,BROOKLYN,998674,177093,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.652744306204724,-73.94801737956669,"(40.652744306204724, -73.94801737956669)"
46761777,07/06/2020 12:01:34 AM,07/06/2020 12:17:12 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10011,427 WEST   17 STREET,WEST   17 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,,NEW YORK,WEST   17 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/06/2020 04:17:15 AM,04 MANHATTAN,1007150010,MANHATTAN,982829,210103,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74336068876715,-74.00512810363975,"(40.74336068876715, -74.00512810363975)"
46762893,07/06/2020 12:01:35 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46758665,07/06/2020 12:01:51 AM,07/06/2020 12:32:29 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,2060 SEDGWICK AVENUE,SEDGWICK AVENUE,BEND,HALL OF FAME TERRACE,BEND,HALL OF FAME TERRACE,,BRONX,SEDGWICK AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:32:30 AM,05 BRONX,2032220062,BRONX,1007768,252211,MOBILE,Unspecified,BRONX,,,,,,,,40.85890439946084,-73.91498080027829,"(40.85890439946084, -73.91498080027829)"
46756169,07/06/2020 12:01:53 AM,07/06/2020 01:53:16 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11103,32-03 STEINWAY STREET,STEINWAY STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,,ASTORIA,STEINWAY STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 05:53:20 AM,01 QUEENS,4006760045,QUEENS,1006651,215733,ONLINE,Unspecified,QUEENS,,,,,,,,40.75878535204666,-73.91914055760049,"(40.75878535204666, -73.91914055760049)"
46759357,07/06/2020 12:01:59 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,1812 ARNOW AVENUE,ARNOW AVENUE,WICKHAM AVENUE,BRUNER AVENUE,WICKHAM AVENUE,BRUNER AVENUE,,BRONX,ARNOW AVENUE,,In Progress,,,,12 BRONX,2047940007,BRONX,1029348,255999,ONLINE,Unspecified,BRONX,,,,,,,,40.86921743254323,-73.8369422514958,"(40.86921743254323, -73.8369422514958)"
46758284,07/06/2020 12:02:00 AM,07/06/2020 12:14:02 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11416,84-37 102 ROAD,102 ROAD,84 STREET,86 STREET,84 STREET,86 STREET,,OZONE PARK,102 ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:14:06 AM,09 QUEENS,4090850024,QUEENS,1024630,187188,MOBILE,Unspecified,QUEENS,,,,,,,,40.68037248066499,-73.85441426230872,"(40.68037248066499, -73.85441426230872)"
46762821,07/06/2020 12:02:01 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10462,1721 BARNES AVENUE,BARNES AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,,BRONX,BARNES AVENUE,,In Progress,,,,11 BRONX,2040360016,BRONX,1022371,247137,MOBILE,Unspecified,BRONX,,,,,,,,40.84492681390372,-73.86221886509318,"(40.84492681390372, -73.86221886509318)"
46761075,07/06/2020 12:02:08 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46762295,07/06/2020 12:02:19 AM,07/06/2020 12:14:54 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11416,84-03 102 ROAD,102 ROAD,84 STREET,86 STREET,84 STREET,86 STREET,,OZONE PARK,102 ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:14:56 AM,09 QUEENS,,QUEENS,1024620,187184,MOBILE,Unspecified,QUEENS,,,,,,,,40.68036154720001,-73.85445034012706,"(40.68036154720001, -73.85445034012706)"
46755522,07/06/2020 12:02:19 AM,07/06/2020 01:07:20 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,213 AUTUMN AVENUE,AUTUMN AVENUE,RIDGEWOOD AVENUE,FULTON STREET,RIDGEWOOD AVENUE,FULTON STREET,,BROOKLYN,AUTUMN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 05:07:23 AM,05 BROOKLYN,3041330015,BROOKLYN,1020165,188909,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68511547084824,-73.8705031408437,"(40.68511547084824, -73.8705031408437)"
46761586,07/06/2020 12:02:26 AM,07/06/2020 12:13:05 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11220,10 BAY RIDGE AVENUE,BAY RIDGE AVENUE,SHORE ROAD,OWLS HEAD COURT,SHORE ROAD,OWLS HEAD COURT,,BROOKLYN,BAY RIDGE AVENUE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,07/06/2020 04:13:07 AM,10 BROOKLYN,3058680011,BROOKLYN,974381,171969,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63868628091495,-74.03555937235643,"(40.63868628091495, -74.03555937235643)"
46756742,07/06/2020 12:02:37 AM,07/06/2020 12:38:45 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,240 MT HOPE PLACE,MT HOPE PLACE,MONROE AVENUE,ANTHONY AVENUE,MONROE AVENUE,ANTHONY AVENUE,,BRONX,MT HOPE PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:38:50 AM,05 BRONX,2028020023,BRONX,1010659,248275,ONLINE,Unspecified,BRONX,,,,,,,,40.848093082288415,-73.90454514802768,"(40.848093082288415, -73.90454514802768)"
46755158,07/06/2020 12:02:38 AM,07/06/2020 01:51:02 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,40-37 77 STREET,77 STREET,ROOSEVELT AVENUE,41 AVENUE,ROOSEVELT AVENUE,41 AVENUE,,ELMHURST,77 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:51:05 AM,04 QUEENS,4014880042,QUEENS,1015134,211256,ONLINE,Unspecified,QUEENS,,,,,,,,40.74647156902831,-73.88854061161955,"(40.74647156902831, -73.88854061161955)"
46760948,07/06/2020 12:02:39 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46759539,07/06/2020 12:02:44 AM,07/06/2020 12:25:22 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11421,86-11 FOREST PARKWAY,FOREST PARKWAY,86 AVENUE,86 ROAD,86 AVENUE,86 ROAD,,WOODHAVEN,FOREST PARKWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:25:37 AM,09 QUEENS,4088540072,QUEENS,1022716,191901,ONLINE,Unspecified,QUEENS,,,,,,,,40.69331709393898,-73.86128806370832,"(40.69331709393898, -73.86128806370832)"
46761603,07/06/2020 12:02:47 AM,07/06/2020 12:10:29 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11418,87-57 108 STREET,108 STREET,JAMAICA AVENUE,91 AVENUE,JAMAICA AVENUE,91 AVENUE,,RICHMOND HILL,108 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,07/06/2020 04:10:32 AM,09 QUEENS,4092980043,QUEENS,1028779,192573,ONLINE,Unspecified,QUEENS,,,,,,,,40.69513314618453,-73.83941993104503,"(40.69513314618453, -73.83941993104503)"
46755805,07/06/2020 12:02:55 AM,07/06/2020 12:43:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11249,34 NORTH    5 STREET,NORTH    5 STREET,KENT AVENUE,WYTHE AVENUE,KENT AVENUE,WYTHE AVENUE,,BROOKLYN,NORTH    5 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:43:40 AM,01 BROOKLYN,3023410001,BROOKLYN,994625,201234,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.719011487899564,-73.96257238607855,"(40.719011487899564, -73.96257238607855)"
46762124,07/06/2020 12:02:57 AM,07/06/2020 12:07:14 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,301 WEST  203 STREET,WEST  203 STREET,DEAD END,9 AVENUE,DEAD END,9 AVENUE,,NEW YORK,WEST  203 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:07:16 AM,12 MANHATTAN,1021850001,MANHATTAN,1006905,252910,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86082520026947,-73.91809824059416,"(40.86082520026947, -73.91809824059416)"
46763394,07/06/2020 12:03:04 AM,07/06/2020 12:22:17 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11225,115 FENIMORE STREET,FENIMORE STREET,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,,BROOKLYN,FENIMORE STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/06/2020 04:22:18 AM,09 BROOKLYN,3050370080,BROOKLYN,995753,179078,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.658196972298036,-73.95854097717613,"(40.658196972298036, -73.95854097717613)"
46761735,07/06/2020 12:03:06 AM,07/06/2020 12:11:45 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11423,88-30 187 PLACE,187 PLACE,HILLSIDE AVENUE,89 AVENUE,HILLSIDE AVENUE,89 AVENUE,,HOLLIS,187 PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:11:51 AM,12 QUEENS,4099350048,QUEENS,1046867,199637,MOBILE,Unspecified,QUEENS,,,,,,,,40.71441260278315,-73.77412571332837,"(40.71441260278315, -73.77412571332837)"
46758741,07/06/2020 12:03:11 AM,07/06/2020 12:15:52 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3661 BROADWAY,BROADWAY,WEST  151 STREET,WEST  152 STREET,WEST  151 STREET,WEST  152 STREET,,NEW YORK,BROADWAY,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:15:53 AM,09 MANHATTAN,1020980029,MANHATTAN,998744,241790,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.83032124379424,-73.94762569984421,"(40.83032124379424, -73.94762569984421)"
46766477,07/06/2020 12:03:11 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46761869,07/06/2020 12:03:17 AM,07/06/2020 12:17:31 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11106,32-15 33 STREET,33 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,,ASTORIA,33 STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,07/06/2020 04:17:33 AM,01 QUEENS,4006210031,QUEENS,1005284,216486,ONLINE,Unspecified,QUEENS,,,,,,,,40.76085550111695,-73.92407257067616,"(40.76085550111695, -73.92407257067616)"
46760368,07/06/2020 12:03:22 AM,07/06/2020 12:28:09 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,512 EASTERN PARKWAY,EASTERN PARKWAY,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,,BROOKLYN,EASTERN PARKWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:28:11 AM,09 BROOKLYN,3012680025,BROOKLYN,997705,183346,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.66990893393777,-73.95149707788927,"(40.66990893393777, -73.95149707788927)"
